// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B4592C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Roll,Pitch,Yaw
33806,NaN,0.196428,0.161619,-72.418060
33807,NaN,0.193817,0.160796,-72.420384
33808,NaN,0.195429,0.162299,-72.422007
33809,NaN,0.193184,0.165596,-72.418422
33810,NaN,0.192479,0.166147,-72.416585
33811,NaN,0.196525,0.165792,-72.423480
33812,NaN,0.195392,0.165336,-72.424025
33813,NaN,0.196765,0.164871,-72.433954
33814,NaN,0.196732,0.165962,-72.435047
33815,NaN,0.196997,0.160715,-72.435708
33816,NaN,0.197253,0.162679,-72.436050
33817,NaN,0.200457,0.165258,-72.427631
33818,NaN,0.201415,0.166982,-72.428611
33819,NaN,0.204080,0.167648,-72.413071
33820,NaN,0.204949,0.168507,-72.413313
33821,NaN,0.200310,0.167230,-72.428619
33822,NaN,0.200973,0.168019,-72.430439
33823,NaN,0.200265,0.166654,-72.435676
33824,NaN,0.200229,0.167672,-72.436871
33825,NaN,0.201160,0.166469,-72.428902
33826,NaN,0.204077,0.169518,-72.429591
33827,NaN,0.195792,0.172065,-72.432876
33828,NaN,0.197960,0.172393,-72.434523
33829,NaN,0.199587,0.172037,-72.438808
33830,NaN,0.199537,0.173051,-72.440011
33831,NaN,0.199853,0.175825,-72.432826
33832,NaN,0.201344,0.176412,-72.433791
33833,NaN,0.201290,0.172870,-72.434845
33834,NaN,0.202637,0.176372,-72.435746
33835,NaN,0.201174,0.172837,-72.440660
33836,NaN,0.203941,0.174990,-72.440685
33837,NaN,0.204750,0.173693,-72.445091
33838,NaN,0.205823,0.176228,-72.446866
33839,NaN,0.201574,0.175830,-72.452868
33840,NaN,0.201511,0.176814,-72.454118
33841,NaN,0.199811,0.180516,-72.457352
33842,NaN,0.198911,0.180908,-72.457202
33843,NaN,0.199175,0.180712,-72.464729
33844,NaN,0.198243,0.181909,-72.466831
33845,NaN,0.202240,0.178105,-72.467532
33846,NaN,0.203186,0.179776,-72.468584
33847,NaN,0.125585,0.030967,-72.306363
33848,NaN,0.125883,0.031385,-72.306449
33849,NaN,0.124714,0.030117,-72.311797
33850,NaN,0.126965,0.031895,-72.311554
33851,NaN,0.124710,0.031863,-72.315743
33852,NaN,0.126430,0.030966,-72.314903
33853,NaN,0.126556,0.030290,-72.317795
33854,NaN,0.126445,0.028903,-72.318000
33855,NaN,0.126052,0.029694,-72.310405
33856,NaN,0.126351,0.030113,-72.310492
33857,NaN,0.124208,0.030008,-72.317268
33858,NaN,0.124342,0.030361,-72.318903
33859,NaN,0.127209,0.028818,-72.330515
33860,NaN,0.125922,0.030487,-72.333077
33861,NaN,0.126193,0.029463,-72.345656
33862,NaN,0.125804,0.030139,-72.345076
33863,NaN,0.127035,0.029181,-72.348490
33864,NaN,0.126769,0.030726,-72.348624
33865,NaN,0.125074,0.027170,-72.341401
33866,NaN,0.126195,0.031201,-72.341254
33867,NaN,0.127451,0.027940,-72.353993
33868,NaN,0.124709,0.028448,-72.352240
33869,NaN,0.126594,0.029288,-72.352088
33870,NaN,0.125918,0.029027,-72.352341
33871,NaN,0.125493,0.028325,-72.360091
33872,NaN,0.125917,0.029614,-72.360894
33873,NaN,0.129252,0.029013,-72.362752
33874,NaN,0.129309,0.027694,-72.361409
33875,NaN,0.128410,0.027785,-72.352963
33876,NaN,0.128423,0.027268,-72.353884
33877,NaN,0.129733,0.026813,-72.342296
33878,NaN,0.129625,0.025428,-72.342501
33879,NaN,0.129237,0.025131,-72.340159
33880,NaN,0.130228,0.025296,-72.340915
33881,NaN,0.128553,0.024369,-72.343034
33882,NaN,0.128856,0.024790,-72.343122
33883,NaN,0.130682,0.023667,-72.344749
33884,NaN,0.131272,0.025025,-72.344005
33885,NaN,0.130624,0.024953,-72.336762
33886,NaN,0.130927,0.025374,-72.336850
33887,NaN,0.132052,0.025775,-72.327683
33888,NaN,0.131089,0.024579,-72.328768
33889,NaN,0.132356,0.023829,-72.326232
33890,NaN,0.131115,0.024696,-72.326533
33891,NaN,0.131431,0.024497,-72.313058
33892,NaN,0.131611,0.024049,-72.312431
33893,NaN,0.130868,0.025515,-72.318234
33894,NaN,0.131171,0.025937,-72.318323
33895,NaN,0.129930,0.025656,-72.326014
33896,NaN,0.129255,0.025397,-72.326267
33897,NaN,0.132154,0.026019,-72.324793
33898,NaN,0.130668,0.025147,-72.323662
33899,NaN,0.130773,0.026807,-72.311455
33900,NaN,0.130788,0.026292,-72.312376
33901,NaN,0.131799,0.025842,-72.304949
33902,NaN,0.132102,0.026265,-72.305038
33903,NaN,0.130573,0.025279,-72.310874
33904,NaN,0.130588,0.024765,-72.311795
33905,NaN,0.129147,0.025895,-72.299806
33906,NaN,0.129450,0.026318,-72.299895
33907,NaN,0.128637,0.026160,-72.298744
33908,NaN,0.128652,0.025646,-72.299665
33909,NaN,0.128266,0.026176,-72.300536
33910,NaN,0.128447,0.025730,-72.299909
33911,NaN,0.129506,0.025625,-72.319173
33912,NaN,0.128998,0.025436,-72.317878
33913,NaN,0.128999,0.024483,-72.296324
33914,NaN,0.129138,0.024838,-72.297962
33915,NaN,0.127891,0.024601,-72.310929
33916,NaN,0.128072,0.024155,-72.310303
33917,NaN,0.127759,0.024765,-72.308092
33918,NaN,0.128187,0.026059,-72.308898
33919,NaN,0.128457,0.025811,-72.293923
33920,NaN,0.127784,0.025554,-72.294176
33921,NaN,0.129867,0.026357,-72.296666
33922,NaN,0.128215,0.025418,-72.297082
33923,NaN,0.126898,0.025418,-72.296653
33924,NaN,0.126833,0.023235,-72.294593
33925,NaN,0.128527,0.023258,-72.287934
33926,NaN,0.127730,0.022132,-72.287471
33927,NaN,0.127570,0.022554,-72.297205
33928,NaN,0.127310,0.024104,-72.297345
33929,NaN,0.128021,0.023496,-72.299698
33930,NaN,0.128492,0.023991,-72.298241
33931,NaN,0.127052,0.023844,-72.303830
33932,NaN,0.127235,0.023400,-72.303204
33933,NaN,0.127781,0.022871,-72.303696
33934,NaN,0.128087,0.023296,-72.303787
33935,NaN,0.128239,0.024784,-72.296931
33936,NaN,0.127856,0.025466,-72.296354
33937,NaN,0.129532,0.027517,-72.288355
33938,NaN,0.128046,0.026648,-72.287224
33939,NaN,0.129283,0.025743,-72.284752
33940,NaN,0.127755,0.025674,-72.285886
33941,NaN,0.128208,0.026070,-72.288968
33942,NaN,0.127825,0.026753,-72.288391
33943,NaN,0.128535,0.024247,-72.286950
33944,NaN,0.128152,0.024930,-72.286374
33945,NaN,0.129701,0.026011,-72.285322
33946,NaN,0.128215,0.025143,-72.284191
33947,NaN,0.129403,0.024117,-72.293990
33948,NaN,0.128042,0.024118,-72.293577
33949,NaN,0.129129,0.024323,-72.292988
33950,NaN,0.128747,0.025007,-72.292412
33951,NaN,0.127961,0.024848,-72.289963
33952,NaN,0.128269,0.025275,-72.290054
33953,NaN,0.127603,0.025025,-72.292317
33954,NaN,0.128490,0.027331,-72.290748
33955,NaN,0.128528,0.026744,-72.302253
33956,NaN,0.127251,0.028413,-72.304822
33957,NaN,0.127191,0.027105,-72.308898
33958,NaN,0.126521,0.026849,-72.309153
33959,NaN,0.126324,0.027542,-72.308701
33960,NaN,0.125943,0.028227,-72.308126
33961,NaN,0.127544,0.029340,-72.307248
33962,NaN,0.127439,0.027959,-72.307451
33963,NaN,0.127253,0.025762,-72.304780
33964,NaN,0.125728,0.025693,-72.305915
33965,NaN,0.123399,0.025095,-72.301871
33966,NaN,0.125254,0.025080,-72.301749
33967,NaN,0.126231,0.025271,-72.304738
33968,NaN,0.126376,0.025628,-72.306378
33969,NaN,0.125051,0.024765,-72.306372
33970,NaN,0.125197,0.025122,-72.308012
33971,NaN,0.124609,0.027014,-72.305850
33972,NaN,0.126176,0.026059,-72.306558
33973,NaN,0.126306,0.025705,-72.304117
33974,NaN,0.124946,0.025708,-72.303705
33975,NaN,0.125034,0.025400,-72.296534
33976,NaN,0.124930,0.024020,-72.296737
33977,NaN,0.125399,0.025299,-72.301463
33978,NaN,0.124164,0.026171,-72.301769
33979,NaN,0.124445,0.025769,-72.299363
33980,NaN,0.125046,0.027139,-72.298626
33981,NaN,0.123431,0.027143,-72.296377
33982,NaN,0.122637,0.026020,-72.295914
33983,NaN,0.121844,0.024920,-72.296373
33984,NaN,0.122155,0.025349,-72.296466
33985,NaN,0.122308,0.024803,-72.300947
33986,NaN,0.120823,0.023937,-72.299817
33987,NaN,0.121178,0.025269,-72.301712
33988,NaN,0.121200,0.024758,-72.302635
33989,NaN,0.122495,0.025917,-72.300169
33990,NaN,0.121136,0.025921,-72.299758
33991,NaN,0.120591,0.026579,-72.299841
33992,NaN,0.120212,0.027266,-72.299267
33993,NaN,0.120967,0.025730,-72.297547
33994,NaN,0.121115,0.026088,-72.299188
33995,NaN,0.119728,0.026097,-72.300909
33996,NaN,0.119751,0.025586,-72.301832
33997,NaN,0.119576,0.026217,-72.306153
33998,NaN,0.119889,0.026647,-72.306247
33999,NaN,0.119569,0.027347,-72.306640
34000,NaN,0.119881,0.027777,-72.306733
34001,NaN,0.118382,0.026922,-72.306842
34002,NaN,0.118530,0.027280,-72.308484
34003,NaN,0.117644,0.027297,-72.309614
34004,NaN,0.118248,0.028668,-72.308879
34005,NaN,0.119475,0.029757,-72.307819
34006,NaN,0.119098,0.030446,-72.307246
34007,NaN,0.118716,0.031177,-72.304800
34008,NaN,0.119030,0.031608,-72.304894
34009,NaN,0.118738,0.033067,-72.310347
34010,NaN,0.119052,0.033498,-72.310441
34011,NaN,0.119410,0.033044,-72.312369
34012,NaN,0.117637,0.031239,-72.312068
34013,NaN,0.118395,0.033518,-72.311142
34014,NaN,0.118019,0.034207,-72.310570
34015,NaN,0.117835,0.034884,-72.311536
34016,NaN,0.117860,0.034374,-72.312458
34017,NaN,0.118480,0.035596,-72.320102
34018,NaN,0.116997,0.034733,-72.318972
34019,NaN,0.119130,0.035562,-72.320371
34020,NaN,0.117521,0.033831,-72.318522
34021,NaN,0.117024,0.034422,-72.322301
34022,NaN,0.117467,0.035722,-72.323115
34023,NaN,0.118355,0.036037,-72.317500
34024,NaN,0.118545,0.035601,-72.316875
34025,NaN,0.120960,0.037392,-72.317824
34026,NaN,0.119478,0.036530,-72.316694
34027,NaN,0.118001,0.036456,-72.319292
34028,NaN,0.119738,0.035579,-72.318453
34029,NaN,0.119029,0.034490,-72.316094
34030,NaN,0.119346,0.034923,-72.316188
34031,NaN,0.119722,0.035388,-72.314332
34032,NaN,0.120039,0.035821,-72.314426
34033,NaN,0.117720,0.035101,-72.317115
34034,NaN,0.121219,0.036313,-72.319767
34035,NaN,0.121928,0.037811,-72.315304
34036,NaN,0.119189,0.038334,-72.313562
34037,NaN,0.119983,0.037574,-72.315174
34038,NaN,0.119609,0.038266,-72.314602
34039,NaN,0.118981,0.038012,-72.314552
34040,NaN,0.118608,0.038703,-72.313981
34041,NaN,0.116739,0.036021,-72.313718
34042,NaN,0.119021,0.037824,-72.313491
34043,NaN,0.118883,0.037261,-72.314735
34044,NaN,0.119492,0.038637,-72.314004
34045,NaN,0.119774,0.038185,-72.315483
34046,NaN,0.119110,0.037934,-72.315740
34047,NaN,0.131621,0.036300,-72.251000
34048,NaN,0.131991,0.036723,-72.251069
34049,NaN,0.129702,0.036082,-72.245522
34050,NaN,0.129908,0.036430,-72.247138
34051,NaN,0.128586,0.036436,-72.247529
34052,NaN,0.128829,0.035990,-72.246879
34053,NaN,0.129310,0.037282,-72.248691
34054,NaN,0.129681,0.037705,-72.248761
34055,NaN,0.130023,0.038167,-72.240992
34056,NaN,0.130267,0.037722,-72.240342
34057,NaN,0.128738,0.036732,-72.250870
34058,NaN,0.131074,0.038525,-72.250617
34059,NaN,0.129489,0.036772,-72.247097
34060,NaN,0.129569,0.036252,-72.247994
34061,NaN,0.129257,0.036917,-72.247859
34062,NaN,0.130320,0.037082,-72.248595
34063,NaN,0.130299,0.036582,-72.243221
34064,NaN,0.128869,0.035711,-72.242066
34065,NaN,0.127437,0.035566,-72.250553
34066,NaN,0.129775,0.037360,-72.250301
34067,NaN,0.129932,0.036789,-72.258717
34068,NaN,0.128465,0.036710,-72.259829
34069,NaN,0.128173,0.037393,-72.258414
34070,NaN,0.127435,0.036264,-72.257925
34071,NaN,0.127870,0.036691,-72.257090
34072,NaN,0.127951,0.036172,-72.257988
34073,NaN,0.126655,0.036144,-72.259733
34074,NaN,0.127028,0.036568,-72.259804
34075,NaN,0.127176,0.036052,-72.259154
34076,NaN,0.125710,0.035974,-72.260266
34077,NaN,0.125759,0.037586,-72.261535
34078,NaN,0.126405,0.035940,-72.262377
34079,NaN,0.127361,0.035210,-72.265025
34080,NaN,0.126751,0.034949,-72.265257
34081,NaN,0.127126,0.036247,-72.260778
34082,NaN,0.127336,0.036596,-72.262396
34083,NaN,0.126029,0.036593,-72.260725
34084,NaN,0.126111,0.036074,-72.261622
34085,NaN,0.126051,0.036772,-72.269556
34086,NaN,0.125697,0.038248,-72.271229
34087,NaN,0.125051,0.037105,-72.273717
34088,NaN,0.125134,0.036586,-72.274614
34089,NaN,0.123265,0.037681,-72.276694
34090,NaN,0.123384,0.036370,-72.275325
34091,NaN,0.125446,0.037214,-72.275816
34092,NaN,0.123981,0.037136,-72.276929
34093,NaN,0.124099,0.039671,-72.272606
34094,NaN,0.124182,0.039152,-72.273504
34095,NaN,0.123685,0.039773,-72.272671
34096,NaN,0.123769,0.039255,-72.273569
34097,NaN,0.123595,0.037891,-72.268885
34098,NaN,0.123807,0.038241,-72.270504
34099,NaN,0.123933,0.037723,-72.272219
34100,NaN,0.122631,0.037721,-72.271786
34101,NaN,0.124941,0.038656,-72.273307
34102,NaN,0.125317,0.039083,-72.273379
34103,NaN,0.126542,0.039328,-72.272459
34104,NaN,0.125078,0.039250,-72.273573
34105,NaN,0.124813,0.039920,-72.275734
34106,NaN,0.126994,0.041643,-72.277033
34107,NaN,0.126991,0.039503,-72.271307
34108,NaN,0.125783,0.041162,-72.273864
34109,NaN,0.125260,0.040113,-72.272949
